collected_at,location,latitude,longitude,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,weather_code,weather_description
2026-08-27T10:26:35+09:00,진주,35.1796,128.1076,29.5,78,36.3,0.0,1,대체로 맑음
2026-08-27T10:26:35+09:00,대구,35.8714,128.6014,27.6,86,34.1,0.0,2,부분적으로 흐림
2026-08-27T11:13:48+09:00,진주,35.1796,128.1076,30.2,78,37.2,0.0,1,대체로 맑음
2026-08-27T11:13:48+09:00,대구,35.8714,128.6014,28.7,81,35.2,0.0,2,부분적으로 흐림
2026-08-27T21:47:32+09:00,진주,35.1796,128.1076,26.5,94,32.9,0.0,1,대체로 맑음
2026-08-27T21:47:32+09:00,대구,35.8714,128.6014,27.0,94,33.8,0.0,3,흐림
2026-08-28T07:57:41+09:00,진주,35.1796,128.1076,25.9,98,32.7,0.2,53,보통 이슬비
2026-08-28T07:57:41+09:00,대구,35.8714,128.6014,25.7,94,31.4,0.2,53,보통 이슬비
2026-08-28T15:56:04+09:00,진주,35.1796,128.1076,27.2,95,34.1,0.4,61,약한 비
2026-08-28T15:56:04+09:00,대구,35.8714,128.6014,26.4,93,32.4,0.5,61,약한 비
2026-08-29T04:26:26+09:00,진주,35.1796,128.1076,25.0,97,30.6,0.0,2,부분적으로 흐림
2026-08-29T04:26:26+09:00,대구,35.8714,128.6014,23.7,98,29.1,0.0,1,대체로 맑음
2026-08-29T11:49:00+09:00,진주,35.1796,128.1076,30.7,77,36.4,0.0,1,대체로 맑음
2026-08-29T11:49:00+09:00,대구,35.8714,128.6014,30.3,72,35.8,0.0,1,대체로 맑음
2026-08-29T19:04:49+09:00,진주,35.1796,128.1076,28.1,88,34.2,0.0,1,대체로 맑음
2026-08-29T19:04:49+09:00,대구,35.8714,128.6014,26.9,96,34.1,0.0,1,대체로 맑음
2026-08-30T00:04:49+09:00,진주,35.1796,128.1076,25.3,97,31.1,0.0,1,대체로 맑음
2026-08-30T00:04:49+09:00,대구,35.8714,128.6014,24.8,99,30.8,0.0,1,대체로 맑음
2026-08-30T03:30:34+09:00,진주,35.1796,128.1076,24.1,97,29.3,0.0,0,맑음
2026-08-30T03:30:34+09:00,대구,35.8714,128.6014,24.3,98,29.9,0.0,3,흐림
2026-08-30T06:44:33+09:00,진주,35.1796,128.1076,24.0,99,29.9,0.0,2,부분적으로 흐림
2026-08-30T06:44:33+09:00,대구,35.8714,128.6014,24.6,96,30.2,0.0,1,대체로 맑음
2026-08-30T09:20:27+09:00,진주,35.1796,128.1076,27.2,89,33.9,0.0,1,대체로 맑음
2026-08-30T09:20:27+09:00,대구,35.8714,128.6014,26.9,85,32.6,0.0,1,대체로 맑음
2026-08-30T15:40:47+09:00,진주,35.1796,128.1076,30.5,80,37.0,0.1,51,약한 이슬비
2026-08-30T15:40:47+09:00,대구,35.8714,128.6014,30.0,75,36.3,0.6,61,약한 비
